Estimate Summary - Costs and Prices   	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
Test Company 999                      	                      	13         	         	           	               	           	          	         	       	             	                 	                  	                  	Page 1 of    	1
1-BRIDGE                              	Bridge Sample Estimate	           	         	           	               	           	          	         	       	             	                 	                  	07/09/2018 5:23 PM	             	 
1-BRIDGE                              	Bridge Sample Estimate	           	         	           	               	           	          	         	       	             	                 	07/09/2018 5:23 PM	                  	Page 1 of    	1
Direct Biditems                       	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
                                      	                      	Perm       	Const    	           	               	Trucking   	Direct    	Indirect 	Addon  	Total        	Balanced Bid (TO)	                  	Bid Prices        	             	 
Manhours                              	Labor                 	Materials  	Materials	Equipment  	Subs           	           	Total     	Charge   	Bond   	Cost         	                 	                  	                  	             	 
                                      	                      	           	         	           	               	           	          	         	       	             	Markup           	Total             	Markup            	Total        	 
100 - Mobilization                    	                      	           	         	1 LS       	               	           	          	         	       	             	                 	                  	                  	             	 
768                                   	16,311                	           	         	7,860      	34,000         	           	58,171    	2,802    	910    	61,883       	5,739            	67,621.86         	5,739             	67,621.86    	 
768.00                                	                      	           	         	           	               	           	          	         	       	61,882.89    	9.27%            	67,621.86         	9.27%             	67,621.86    	 
110 - Owners Facilities               	                      	           	         	24 MO      	               	           	          	         	       	             	                 	                  	                  	             	 
                                      	                      	           	40,200   	           	               	           	40,200    	4,659    	1,514  	46,373       	2,339            	48,711.90         	2,339             	48,711.84    	 
                                      	                      	           	         	           	               	           	          	         	       	1,932.22     	5.04%            	2,029.66          	5.04%             	2,029.66     	 
120 - Allowance for Testing           	                      	           	         	1 LS       	               	           	          	         	       	             	                 	                  	                  	             	 
                                      	                      	           	175,000  	           	               	           	175,000   	         	       	175,000      	                 	175,000.00        	                  	175,000.00   	 
                                      	                      	           	         	           	               	           	          	         	       	175,000.00   	                 	175,000.00        	                  	175,000.00   	 
130 - Traffic Control                 	                      	           	         	24 MO      	               	           	          	         	       	             	                 	                  	                  	             	 
                                      	                      	           	         	           	274,680        	           	274,680   	         	       	274,680      	15,979           	290,659.03        	15,979            	290,658.96   	 
                                      	                      	           	         	           	               	           	          	         	       	11,445.00    	5.82%            	12,110.79         	5.82%             	12,110.79    	 
140 - Erosion Control                 	                      	           	         	1 LS       	               	           	          	         	       	             	                 	                  	                  	             	 
3,080                                 	54,504                	73,500     	         	8,336      	               	           	136,340   	15,803   	5,134  	157,277      	14,758           	172,034.92        	14,758            	172,034.92   	 
3,080.00                              	                      	           	         	           	               	           	          	         	       	157,277.26   	9.38%            	172,034.92        	9.38%             	172,034.92   	 
150 - Site Clearing                   	                      	           	         	15 ACRE    	               	           	          	         	       	             	                 	                  	                  	             	 
379                                   	7,809                 	           	13,500   	7,733      	               	9,450      	38,491    	4,461    	1,450  	44,402       	3,959            	48,361.38         	3,959             	48,361.35    	 
25.26                                 	                      	           	         	           	               	           	          	         	       	2,960.15     	8.92%            	3,224.09          	8.92%             	3,224.09     	 
160 - Demolish Concrete Structures    	                      	           	         	1,250 CY   	               	           	          	         	       	             	                 	                  	                  	             	 
392                                   	7,929                 	           	         	4,667      	               	           	12,596    	1,460    	474    	14,530       	1,927            	16,457.27         	1,932             	16,462.50    	 
.31                                   	                      	           	         	           	               	           	          	         	       	11.62        	13.26%           	13.17             	13.3%             	13.17        	 
170 - Structural Excavation           	                      	           	         	17,500 CY  	               	           	          	         	       	             	                 	                  	                  	             	 
1,575                                 	35,785                	           	         	37,933     	               	           	73,718    	8,544    	2,776  	85,038       	10,659           	95,697.00         	10,687            	95,725.00    	 
.09                                   	                      	           	         	           	               	           	          	         	       	4.86         	12.53%           	5.47              	12.57%            	5.47         	 
1000 - Bridge Structure               	                      	           	         	1 LS       	               	           	          	         	       	             	                 	                  	                  	             	 
78,857                                	2,015,808             	10,736,313 	401,056  	1,291,939  	2,091,669      	           	16,536,786	1,674,287	543,989	18,755,062   	1,271,687        	20,026,749.05     	1,271,687         	20,026,749.05	 
78,857.01                             	                      	           	         	           	               	           	          	         	       	18,755,062.03	6.78%            	20,026,749.05     	6.78%             	20,026,749.05	 
Direct Totals                         	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
85,051                                	2,138,146             	10,809,813 	629,756  	1,358,468  	2,400,349      	9,450      	17,345,982	1,712,017	556,248	19,614,247   	1,327,046        	20,941,292        	1,327,079         	20,941,325   	 
                                      	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
Indirect Charges                      	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
MHs                                   	Labor                 	Perm Matl  	         	Constr Matl	Equipment      	Subcontract	Total     	         	       	             	                 	                  	                  	             	 
3000 - Fixed Indirect  Costs          	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
                                      	-                     	-          	         	230,000    	-              	-          	230,000   	         	       	             	                 	                  	                  	             	 
3100 - Supervision & Monthly Indirects	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
                                      	900,364               	-          	         	275,441    	216,212        	90,000     	1,482,017 	         	       	             	                 	                  	                  	             	 
Indirect Totals                       	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
                                      	900,364               	-          	         	505,441    	216,212        	90,000     	1,712,017 	         	       	             	                 	                  	                  	             	 
Addon/Bond                            	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
Additional Cost                       	                      	           	         	           	Addon/Bond Cost	           	          	         	       	             	                 	                  	                  	             	 
Division Overheads                    	                      	2.5 % of TC	         	           	476,450        	           	          	         	       	             	                 	                  	                  	             	 
Bond from Summary Table               	                      	           	         	           	79,798         	           	          	         	       	             	                 	                  	                  	             	 
Totals from Addon and Bond            	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
                                      	                      	           	         	           	556,248        	           	          	         	       	             	                 	                  	                  	             	 
Summary Information                   	                      	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
Last Summary:                         	10/10/2016 1:19:00 PM 	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
Last Spread:                          	10/10/2016 1:19:00 PM 	           	         	           	               	           	          	         	       	             	                 	                  	                  	             	 
